City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
75,Lubao,PH,86.0,14.92,120.55,Hacienda Gracia
80,Guarda,PT,88.0,40.54,-7.27,Hotel Lusitânia
81,Linhai,CN,79.0,28.85,121.12,Linhai S&N International Hotel
86,Palmer,US,75.2,42.16,-72.33,Wedgewood Motel
88,Salisbury,GB,75.2,51.07,-1.8,Mercure Salisbury White Hart Hotel
92,Muisne,EC,75.9,0.6,-80.03,Quinta Samay
93,Batie,BF,95.14,9.88,-2.92,Auberge SONDAR AFACI
95,Kapaa,US,77.0,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
96,Novouzensk,RU,76.12,50.46,48.14,
98,Minamata,JP,75.2,32.22,130.4,Hotel Sunlight
101,Port Blair,IN,84.45,11.67,92.75,Hotel Sentinel
106,Porbandar,IN,88.07,21.64,69.61,Lords Inn Porbandar
108,Avarua,CK,75.2,-21.21,-159.78,Paradise Inn
110,Luganville,VU,77.81,-15.53,167.17,The Espiritu Hotel
118,Mahebourg,MU,75.2,-20.41,57.7,Shandrani Beachcomber Resort & Spa
120,Sorgun,TR,83.77,39.81,35.19,SORGUN BIG THERMAL TURIZM HOTEL COMPANY A.Ş.
121,La Rioja,ES,84.2,42.25,-2.5,Casa Concejos
123,Gogrial,SS,97.29,8.53,28.1,
124,Camocim,BR,81.73,-2.9,-40.84,Hotel Ilha do Amor
125,Buchanan,LR,84.2,5.88,-10.05,Kamaneahn Hotel Inc
129,Beira,MZ,77.0,-19.84,34.84,Beira Terrace Hotel
143,Matara,LK,82.62,5.95,80.54,Amaloh Boutique Resort
153,Roma,US,75.2,43.21,-75.46,Wingate By Wyndham Rome
154,Hadrut,AZ,87.1,39.52,47.03,
156,Komsomolskiy,UZ,96.8,40.43,71.72,Ikathouse
157,Victoria,HK,87.01,22.29,114.16,Mini Hotel Central
161,Saint-Philippe,RE,77.0,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
164,Mayumba,GA,76.75,-3.43,10.66,LIKWALE LODGE
166,Nishihara,JP,82.4,26.18,127.76,Minshuku Agaihama
167,Niquero,CU,80.64,20.04,-77.58,
171,Manado,ID,78.8,1.49,124.85,Aryaduta Hotel
