City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rainfall in past hour (inches),Snowfall in past hour (inches)
441,Inhambane,MZ,-23.86,35.38,75.2,64,40,6.93,scattered clouds,0.0,0.0
442,Anzio,IT,41.49,12.62,90.0,41,0,4.0,clear sky,0.0,0.0
443,Zhangye,CN,38.93,100.45,82.96,16,29,5.1,scattered clouds,0.0,0.0
444,Forio,IT,40.73,13.86,87.01,39,5,11.7,clear sky,0.0,0.0
445,Burgeo,CA,47.62,-57.62,58.44,94,100,5.26,overcast clouds,0.0,0.0
446,Tatawin,TN,32.93,10.45,82.4,32,20,6.93,few clouds,0.0,0.0
447,Rawson,AR,-43.3,-65.1,43.14,62,0,8.14,clear sky,0.0,0.0
448,Tres Barras,BR,-26.11,-50.32,59.92,78,23,1.48,few clouds,0.0,0.0
449,Belaya Gora,RU,68.53,146.42,72.37,38,11,11.14,few clouds,0.0,0.0
450,Tilichiki,RU,60.47,166.1,55.87,77,48,4.07,light rain,0.5,0.0
451,Jumla,NP,29.27,82.18,78.01,85,86,1.01,moderate rain,1.41,0.0
452,Port Moresby,PG,-9.44,147.18,80.6,88,75,11.41,broken clouds,0.0,0.0
453,Omboue,GA,-1.57,9.26,78.06,72,69,7.58,broken clouds,0.0,0.0
454,Kailua,US,21.4,-157.74,77.0,78,75,10.47,broken clouds,0.0,0.0
455,Codrington,AU,-38.27,141.97,54.84,90,21,7.43,few clouds,0.0,0.0
456,Senno,RU,59.53,33.92,76.39,28,5,5.5,clear sky,0.0,0.0
457,Bangkalan,ID,-7.05,112.74,80.35,73,54,7.52,broken clouds,0.0,0.0
458,Villarrica,PY,-25.75,-56.43,70.9,66,41,8.3,scattered clouds,0.0,0.0
459,Puerto Escondido,MX,15.85,-97.07,77.0,83,90,9.17,overcast clouds,0.0,0.0
460,Ous,RU,60.91,61.52,59.59,71,81,5.12,light rain,0.57,0.0
461,Chenghai,CN,23.46,116.77,89.6,66,20,13.42,few clouds,0.0,0.0
